"","job_title","company_name","job_location","job_description"
"309","Dietary Technician - PRN","Timberline Knolls","Lemont, IL 60439","Lemont, IL 60439Part-timeAssist Dietitian in assessments of patients. Plan and conduct in-services on nutrition for family and patient.
ESSENTIAL FUNCTIONS:
Ensure patients have menu choices and assist with appropriate menu selections.

Ensure Food Services receive any special nutritional needs of individual patients.

Monitor compliance with nutrition recommendations.

Implement nutritional care according to the age, gender, cultural, spiritual, medical and psychosocial needs/requirements of the patient.

Monitor weight, height, BMI and development for each age group as indicated.

Participate in discharge planning process related to nutritional needs of the individual.

Document nutritional assessments, ongoing documentation of nutritional needs as required.
OTHER FUNCTIONS:
Perform other functions and tasks as assigned.
EDUCATION/EXPERIENCE/SKILL REQUIREMENTS:
Associates Degree or pending Bachelor's Degree in Nutrition and Dietetics or graduate of an accredited dietetic technician program. 1-2 years’ experience in a mental health care setting preferred.
LICENSES/DESIGNATIONS/CERTIFICATIONS:
First Aid, CPR, de-escalation and restraint certification required (training available upon hire and offered by facility)"
"310","General Manager 4 - Food","Sodexo","Simi Valley, CA","Simi Valley, CA5+ years experienceSodexo is seeking a General Manager 4 for Simi Valley Hospital located in Simi Valley, CA. Simi Valley Hospital is a 144 bed acute care hospital and is part of the Adventist Health System. The selected candidate will oversee patient dining, retail and catering.
Is this opportunity right for you?
At Sodexo, you will find the ingredients for a great career in food service management. With benefits including schedules that encourage work-life balance and continuing education opportunities, you’ll enjoy an improved quality of life that’s unique in the hospitality industry.
Are you the experienced food service manager we’re seeking?
We are looking for candidates who will:
have oversight of day-to-day operations;
deliver high quality food service;
achieve company and client financial targets and goals;
develop and maintain client and customer relationships;
develop strategic plans;
create a positive environment; and
ensure Sodexo Standards are met.
The ideal candidate:
has a work history demonstrating strong leadership skills, as well as previous supervisory experience and the ability to work collaboratively;
has culinary production experience and a strong background in safety and sanitation compliance;
has the ability to manage multiple priorities, demonstrate professional communication skills, and a passion for a high level of customer service;
can demonstrate the ability to prioritize tasks and exhibit flexibility to take on additional responsibilities as needed; and
can demonstrate working knowledge of Sodexo Food Management Systems (FMS) and Market Connections (MSC), CaterTrax and is proficient in computer skills and report management experience.
To meet California requirement, candidates need a Background as Registered Dietitian, Diet Technician Registered, Certified Dietary Manager or have a Bachelor’s Degree in Dietetics, Nutrition or a similar B.S. degree desirable.
Working for Sodexo:
How far will your ambition, talent and dedication take you? Sodexo fosters a culture committed to the growth of individuals through continuous learning, mentoring and other career growth opportunities, along with the performance of organizations. We believe it is important for our work to be meaningful to all who contribute to it, and we remain faithful to our mission, our core values and the ethical principles that have guided us since 1966. We support these values and help them thrive in each employee.
We strive to make working for Sodexo a genuinely great experience with benefits to promote your professional, personal and financial well-being, and to improve your Quality of Life now and into the future. Our experiences with our over 50 million customers each and every day enable us to develop Quality of Life services that reinforce the well-being of individuals, improving their effectiveness and helping companies and organizations to improve performance … every day.
Apply Now!
Are you ready to start your Sodexo career? Apply now!
Not the job for you?
At Sodexo, we offer Food Service Management positions in a variety of business segments, including Corporate, Schools, Universities, Government and Agencies, Healthcare, Senior Living and Sports and Leisure locations across the United States. Continue your search for Food Service Management jobs.
Connect with this recruiter on LinkedIn or Twitter
Please visit the Sodexo Network with Us page and consider signing up for our Career Connections eNewsletter
Directs all contract management service operations at a single account/unit. Plans and supervises special functions. Maintains cash control and payroll records. Hires and trains unit personnel. Maintains customer satisfaction and good public relations. Manages through managers and is accountable for the contract. Senior-most person assigned to a one client account.
Provides local leadership and strategic direction while developing team for new and emerging business solutions that sustain growth in the day to day operations.
Key DutiesDirects all contract services.Oversees management/administrative team who are responsible for special functions, cash control and payroll.Customer and client satisfactionDrives growthFinancial management
Basic Education Requirement - Bachelor’s Degree or equivalent experience
Basic Management Experience - 5 years
Basic Functional Experience - 5 years
Sodexo is an EEO/AA/Minority/Female/Disability/Veteran employer."
"311","WIC Director-Health Dept","Swain County","Bryson City, NC 28713","Bryson City, NC 28713The Swain County Health Department has an opening for a Nutritionist. This position will manage and operate the Nutritional Program for Women, Children and Infants (WIC). Provides fundamental nutrition counseling and education and has knowledge of human behavior. Requires graduation from a Commission on Accreditation for Dietetics Education: or Registered Dietetic Technician registered with the Commission on Accreditation and a Bachelor’s degree in any subject area from a four year college or university; or a Bachelor’s of Science degree in Dietetics, Public Health Nutrition or Community Nutrition from a four year college or university.Job Type: Full-timeEducation:Bachelor's (Required)Benefits offered:Paid time offHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsRetirement benefits or accountsGym memberships or discountsFlexible schedules"
"312","Certified Dietary Manager - Assisted Living","Avera Health","Yankton, SD","Yankton, SDOnly applicants that are current AVERA SACRED HEART employees in Long Term Care Nutrition are eligible to applyJob Summary:
 Under general supervision of the Nutrition Services Coordinator and oversight by consultant dietitian, ensures adequate nutritional care to Assisted Living residents in accordance with our policies and procedures and state and federal guidelines. Enhance the resident's quality of life by working closely with the Household Coordinator-RN to effectively manage the household. Responsible for the clinical implementations of the MDS, care plans, weight programs, and registered dietician recommendations.Position Highlights:
 Assist in creating a home environment for residents. Works as part of a self-led team with accountabilities to nutrition services. Clinical liaison between facility and registered dietician. Hours will vary between 6am to 8pm but are primarily 8am-4:30pm. Weekend/holiday rotation is every 5th.Education and Experience:
 High school diploma or general education degree.Certification and Licensure:
 Completed or in the process of completing the certified dietary manager course or dietetic technician or equivalent schooling. Successful completion of CDM, CFPP exam. Must be willing to maintain or achieve certification for nursing assistant and be compliant with South Dakota Board of Nursing."
"313","CLINICAL NUTRITION COORDINATOR","Loyola University Medical Center","Maywood, IL 60153","Maywood, IL 601531+ years experienceThe Clinical Nutrition Coordinator, under the direction of a Trinity Health FANS Regional Manager, Clinical Nutrition and Wellness, is responsible for the day-to-day administrative functions and management pertaining to the clinical dietitians and dietetic technicians. This position involves direct patient care of an assigned unit/area providing medical nutrition therapy to include assessment, monitoring, and education, according to established department policies. The coordinator is responsible for communicating to/from the General Manager of Food and Nutrition to the clinical nutrition staff.
Performs all patient care duties related to medical nutrition therapy of a
Level II dietitian, in accordance with hospital patient care policies.
Functions in a supervisory role as a team leader, coordinating the
provision of medical nutrition therapy provided by clinical dietitians and
dietetic technicians. Understands, articulates, and ensures compliance
with patient safety practices mandated by national, state and local
regulatory agencies. Performs administrative tasks related to the clinical
nutrition staff and day-to-day operations of the team. Maintains
employee files (ensures competencies, registration, licensure, and
certification requirements and continuing education requirements on an
annual basis).
Serves as a liaison between the clinical nutrition staff and the General
Manager of Food and Nutrition Services related to patient services and
wellness initiatives. This includes consulting on menu/formulary related
issues and interpretations of regulatory standards. Maintaining medical
nutrition therapy compliance with regulatory agency standards, including
state, federal and JCAHO requirements.
 Coordinates nutrition rounds, leads staff meetings, and arranges
in-services/training opportunities for staff.
Position Requirements:
Minimum Education:
Required: Bachelors Degree
Preferred: Masters Degree
Specify Degree(s): Nutrition
Minimum Experience:
Required: 3-5 years of previous job-related experience
Managerial Experience: 1-2 years
Details: 1-2 Years Leadership experience
We provide equal employment opportunities to all employees and applicants for employment and prohibit discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training."
"314","UConn Health - Part Time Dietetic Clerk","Sodexo Inc.","Farmington, CT 06030","Farmington, CT 06030Part-time1+ years experienceDescription/Job Summary
Job Overview:
The Dietetic Technician organizes the patient/resident's menus to ensure accuracy of diet order, timeliness of meal service and smooth foodservice operations. Responsible for the production of meal tickets, nourishment labels and production tallies for resident/patient menus. Responds to interdepartmental telephone inquiries, maintains all office equipment and supply inventory for nutrition office. The general responsibilities of the position include those listed below, but Sodexo may identify other responsibilities of the position. These responsibilities may differ among accounts, depending on business necessities and client requirements.
General Responsibilities:
Prepares dietary information for use by kitchen personnel in preparation of foods for hospital patients.
Examines diet orders and menus received from hospital units and tallies portions and foods of general and soft diets.
Tallies quantities of specific foods, such as vegetables and meats, to be prepared in kitchen.
Marks tally on master menu to inform kitchen personnel of food requirements.
Processes new diets and changes as required.
Participates in tray line and food temperature monitoring as assigned.
May calculate diabetic diets, using calculator, and following standards established by Clinical Nutrition Manager or Dietitian.
Communicates patient needs to appropriate staff while maintaining patient confidentiality.
May answer telephone and intercom calls and relay information to kitchen concerning meal changes, complaints or patient discharge.
May prepare and deliver formula and special nourishments to unit pantries.
May visit and provide assistance with menu selection to patients.
Attends all allergy and foodborne illness in-service training.
Complies with all Sodexo HACCP policies and procedures.
Reports all accidents and injuries in a timely manner.
Complies with all company safety and risk management policies and procedures.
Participates in regular safety meetings, safety training and hazard assessments.
Attends training programs (classroom and virtual) as designated.
May perform other duties and responsibilities as assigned.
Job Qualifications:
Experience/Knowledge:
High School diploma, GED, or equivalent experience.
1 year experience in hospital or extended care facility.
Skills/Aptitude:
Presents self in a highly professional manner to others and understands that honesty and ethics are essential.
Ability to maintain a positive attitude.
Ability to communicate with co-workers and other departments with professionalism and respect.
Maintains a professional relationship with all coworkers, vendor representatives, supervisors, managers, customers, and client representatives.
Ability to use a computer.
Basic food-handling skills.
License/Qualifications
Certifications:
May require a valid driver's license
Must be registry eligible for dietetic technician.
General Qualifications:
Willingness to be open to learning and growing.
Maturity of judgment and behavior.
Maintains high standards for work areas and appearance.
Maintains a positive attitude.
Ability to work a flexible schedule helpful.
Must comply with any dress code requirements.
Must be able to work nights, weekends and some holidays.
Attends work and shows up for scheduled shift on time with satisfactory regularity.
Physical Requirements:
Close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus, with or without corrective lenses.
Significant walking or other means of mobility.
Ability to work in a standing position for long periods of time (up to 8 hours).
Ability to reach, bend, stoop, push and/or pull, and frequently lift up to 35 pounds and occasionally lift/move 40 pounds.
Working Conditions (may add additional conditions specific to defined work location):
Generally in an indoor setting; however, may supervise outside activities and events.
Varying schedule to include evenings, holidays, weekends and extended hours as business dictates.
While performing the duties of this job, the employee is primarily in a controlled, temperate environment; however, may be exposed to heat/cold during support of outside activities.
The noise level in the work environment is usually moderate to loud."
"315","Dietetic Technician FT Days","AdventHealth Fish Memorial","Orange City, FL 32763","Orange City, FL 32763DescriptionDietary Technician AdventHealth Fish Memorial
Location Address: 1055 Saxon Boulevard Orange City, Florida 32763
Top Reasons To Work At AdventHealth Fish Memorial
 Immediate Health Insurance Coverage Great benefits such as: Educational Reimbursement Career growth and advancement potentialWork Hours/Shift:
Full Time Day Shift, Rotating Weekends
You Will Be Responsible For:
Monitor patient meals selections to comply with diet orders and the needs of varied diseases, age-specific populations as well as cultural, religious, and ethnic concerns.
Evaluates and monitors the effectiveness and outcome of nutritional interventions and answers or refers questions regarding patients’ nutritional care to a clinical dietitian.
Communicates with related departments, such as medical and nursing, to optimize nutrition care and monitoring of food quality and delivery.
Conducts patient rounds to assess adequacy of nutritional intake, appropriateness of diet prescription, and patient satisfaction with meals and meal service.
Coordinates and conducts periodic tray assessments according to quality standards and diet prescription.
QualificationsWhat You Will Need:
Computer hardware/software skills
Minimum of an Associate’s degree granted by a U.S., regionally accredited university or college and completion of a dietetic technician program approved by the Commission on Accreditation for Dietetics Education (CADE) of the Association of Nutrition and Dietetics (AND).
Experience as a Dietetic Technician preferred.
Must be registered as a Dietetic Technician by the Commission on Dietetic Registration of the Association of Nutrition and Dietetics (AND).Job Summary:
The Dietary Technician provides food and nutrition services to patients under the guidance of a registered dietitian. Primary responsibilities include conducting routine nutrition assessments; developing and implementing nutrition care plans for assigned patients; providing individualized or group nutrition education; monitoring quality and accuracy of food served to patients; and maintaining professional competency and skills required for practice.
This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances."
"316","Registered Dietitian RD or Registered Dietetic Technician DTR","Cornerstone Family Healthcare","Newburgh, NY 12550","Newburgh, NY 125501+ years experienceCornerstone Family Healthcare is in search of a dynamic Registered Dietitian RD or Registered Dietetic Technician DTR to plan, implement, and evaluate nutritional education activities for patients at our Community Health Center in Newburgh, NY.Description of Duties: Conduct nutrition risk assessment to determine all nutrition risk criteria and program eligibility based on risks to complete enrollment.Prescribe, tailor, authorize and reissue food package.Provide nutrition education responsive to the identified needs/interests of at-risk participants.Provide and document appropriate follow-up referrals to other health and social services.Implement individual care plans for at-risk participants (CPA-initiated and participant request)Plan, conduct and evaluate the nutrition program at the CORNERSTONE (develop lesson plans, handouts, etc.)Issue supplemental formula to breastfeeding infants.Review and approve formula requests requiring medical documentation for participants in consultation with the health care providers.Provide high-risk nutritional counseling.Develop individual care plans for high-risk participants.Coordinate nutrition counseling activities at CORNERSTONE responsive to the identified needs/interests of high-risk participantsPerform other related duties as assigned by the WIC program Director.Attend and participate in monthly department, All Staff and other required meetings.Be familiar with and adhere to all clinical, administrative, and general policies and procedures as outlined in the CORNERSTONE Policy and Procedure Manual and Employee Handbook.Maintain confidentiality of all aspects of CORNERSTONE including, but not limited to, patient confidentiality, financials, and employee relations.Perform other duties as assigned.Education: Bachelor’s Degree in Nutritional Sciences, community nutrition, clinical dietetics, foods and nutrition from a regionally accredited college or university, or one recognized by New York State Education DepartmentExperience Required: Completion of a dietetic internship in an institution approved by the American Dietetic Association and is either currently registered or is eligible for registration by the American Dietetic Association.Benefits Include: We offer a highly competitive salary & benefit package including over 3 weeks of paid time off a year. We also provide Top-notch group medical, dental and vision insurance | Long-term disability and life insurance | 403(b) Retirement Plan | Supplemental disability, accident, and life insurance Please submit a Cover Letter, Current Resume, and Salary Requirements. Cornerstone Family Healthcare is a nonprofit community health center. Our mission is to provide quality, affordable healthcare services to our community.The U.S. Department of Agriculture prohibits discrimination against its customers, employees, and applicants for employment on the bases of race, color, national origin, age, disability, sex, gender identity, religion, reprisal, and where applicable, political beliefs, marital status, familial or parental status, sexual orientation, or all or part of an individual's income is derived from any public assistance program, or protected genetic information in employment or in any program or activity conducted or funded by the Department. (Not all prohibited bases will apply to all programs and/or employment activities.) If you wish to file a Civil Rights program complaint of discrimination, complete the USDA Program Discrimination Complaint Form, found online at: http://www.ascr.usda.gov/complaint_filing_cust.html or at any USDA office, or call (866) 632-9992 to request the form. Send your completed complaint form or letter to us by mail at U.S. Department of Agriculture, Director, Office of Adjudication, 1400 Independence Avenue, S.W., Washington, D.C. 20250-9410, by fax (202) 690-7442. Individuals who are deaf, hard of hearing or have speech disabilities may contact USDA through the Federal Relay Service at (800) 877-8339; or (800) 845-6136 (Spanish). USDA is an equal opportunity provider and employer.Job Type: Full-timeExperience:WIC: 1 year (Preferred)RD or DTR: 1 year (Preferred)Education:High school or equivalent (Required)License:RD (Preferred)DTR (Preferred)"
"317","Diet Technician","Southern New Hampshire Medical Center","Nashua, NH","Nashua, NHDepartment: Nutrition

Schedule: Per diem

Shift: Day/evening

Hours: varies
For more than 100 years, Southern New Hampshire Medical Center has honored our mission: to improve, maintain, and preserve the overall health and well-being of individuals living in the greater Nashua area by providing information, education, and access to exceptional health and medical care services.
We have literally been at the heart of better health for Greater Nashua. Our main downtown campus, a familiar landmark for generations, has grown along with the Gate City. Today, The Medical Center and our affiliated doctors and services extend across much of southern New Hampshire. Along with our growth has been the opportunity for many to build and enhance their careers within our organization. We encourage the professional and personal development of our employees and are proud of the workplace culture we have developed.At Southern New Hampshire Health, we believe in the little moments and the power of small gestures. It is our desire to make every patient, family or visitor interaction meaningful.You’ll see some of these wonderful moments in our new video “We believe in the little moments…”See some of the wonderful moments here!Summary:The Diet Technician provides food and nutrition services to patients under the supervision of a Dietitian.Qualifications: 2 year accredited Dietetic Technician program completed or 4 year bachelor’s degree in nutrition and dietetics from an accredited program Self-motivated to keep current with best practices and education for self. Must have basic math skills to include multiplication, addition and the use of a calculator. Possess excellent customer service skills. Must be able to clearly speak, read, write and comprehend English. Must be able to follow both written and verbal instructionsWe are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, disability status, veteran status, or any other characteristic protected by law."
"318","Dietetic Technician","Villa Las Palmas Healthcare Center","El Cajon, CA 92020","El Cajon, CA 92020At VLP our goal is to wonderfully enrich thousands of lives, one person at a time. We are dedicated to providing person-centered health care services and are passionate about serving our residents and their families in a nurturing, transitional environment between hospital and home.
Responsibilities
The Dietetic Technician will work directly under the supervision of the Registered Dietitian Nutritionist to provide nutrition education, conduct nutrition screening for incoming residents, complete quarterly assessments, monitor resident food and fluid intake, and other nutrition duties as assigned. Bachelor's degree preferred.
Anthem Blue Cross or Kaiser Permanente Health Insurance
Health Savings Accounts
Dental insurance by Delta Dental
401(k) provided by T. Rowe Price
Employee Assistance Program
Free continuing education units through PlumUniversity.com
And much more!
Qualifications
EOE - M/F/Disabled/Veterans
Plum Healthcare Group, LLC does not own or operate skilled nursing facilities. Plum supports an affiliated family of independently licensed and operated skilled nursing providers by providing an array of administrative and consulting support services. References to “Plum” or the words “company,” “we,” “our,” “us,” “its” or similar language do not imply that Plum Healthcare Group, LLC has direct operating assets, employees, or revenue or that any of the affiliated entities, including facilities or other businesses are operated or managed by the same entity."
"319","Dietitian","Hillandale Communities","Fairfield, OH","Fairfield, OH3+ years experienceWe have an immediate opening for a knowledgeable Dietitian who is passionate about helping residents achieve their goals and lead healthier lives.You will develop trusting partnerships with residents and family members. You'll learn about resident health concerns, goals, and dietary restrictions and preferences and work with them to create a healthier nutrition plan. You may also participate in demonstrations or seminars to inform the community about nutrition and promote healthier eating habits.You should be an expert in all matters concerning diet and medical nutrition therapy with a keen skill for clinical documentations. You should be analytical, caring, and knowledgeable with good communication, active listening, problem-solving, and computer skills.You’ll Be Responsible For: Speaking to residents and family to learn about their health goals and dietary needs, preferences, and restrictions.Developing nutrition plans for residents by care planning and interdisciplinary team approaches.Compiling information and tracking resident’s progress towards their health goals.Ensuring menu compliance and standards as it relates to CMS measuresParticipate in monthly and quarterly assessments and reporting for quality measuresEntering resident’s information medical record database.Oversee the consultation calendar to ensure efficiency.Simplify important information to clients and explain the benefits of staying on a healthy diet.Help establish short and long-term goals.Ensure that you stay updated on the latest nutritional diets and trends.Keeping informed about the latest discoveries in nutrition.Speaking to groups to promote healthy eating habits and proper nutrition.Preforming food safety, sanitation, meal, and accuracy audits while escalating findings to appropriate key staff.You’ll Need To Have: B.S. degree in Dietetics or Foods and Nutrition requiredRegistered and Licensed Dietitian requiredM.S. degree in Dietetics or Food and Nutrition preferredMust maintain active membership and registration in the Academy of Nutrition and Dietetics (AND) and with the Commission on Dietetic RegistrationAt least 3 years’ experience as a professional dietitian or dietetic technician in long term care with some administrative responsibility, or (1) years’ experience as a registered consulting dietitian with two or more long-term care facilitiesMaintain nutrition knowledge base related to long term care through continuing education to ensure the application of current research information and methods to nutrition practiceMaintain continuing education to meet requirements for registration as set forth by the American Dietetic Association and to meet state licensure requirementsSound understanding of the principles related to dieteticsSound knowledge of State and Federal regulations governing health care communitiesPreferred working knowledge of electronic medical record (EMR) computer software programs such Point Click Care, Optimus, ECS, MatrixSkill in working effectively with others in a wide variety of situationsHighly motivated, creative, results-oriented, self-starter with the proven ability to take direction, meet deadlines, multi task, and adapt easily in a fast-paced work environmentStrong interpersonal, organizational, communication (both verbal and written), listening, planning, critical thinking and analytical skillsStrong attention to detail, ability to solve problems and follow upWe’re Proud To Offer You: Holiday payEmployee referral bonus payPaid Time Off Accrual – from date of hireTuition Reimbursement ProgramMedical InsuranceDental InsuranceVision Discount PlanLife Insurance – paid for by companyShort-Term Disability Insurance401(k) Company MatchYou’ll enjoy the free perks of our employee purchasing program offering a variety of discounts on purchases made everyday – including cell phone service!Love Your Work as part of a family-owned company that cares like family!Hillandale Communities have received numerous awards including Best of 2018 in healthcare and retirement communities and has a consistent 5-star rating in *state surveys and customer satisfaction.*You must undergo pre-employment background check, physical examination, drug screen and TB testing.Hillandale Communities is an EOE/M/F/D/V and Drug-Free and Smoke-Free Workplace.Job Type: Full-timeExperience:relevant: 1 year (Preferred)Registered Dietitian: 1 year (Preferred)"
"320","COORDINATOR, NUTRITION","The Brookdale University Hospital and Medical Cent...","Brooklyn, NY","Brooklyn, NYOverview
The Nutrition Coordinator is a Registered Dietitian that assesses the nutrition health needs of patients and provides individualized Medical Nutrition therapy via the Nutrition Care Process. Functions as a vital part of the Interdisciplinary team and performs as a liaison of the Food and Nutrition Department throughout the hospital and or the ambulatory care program. Provides supervision and guidance to diet clerks, diet technicians and associated to ensure the execution of the patient nutritional needs.
The Nutrition Coordinator assists the Clinical Nutrition Manager in matters relating to Quality Assurance, productivity, menu development, patient educational material, and patient satisfaction surveys. Participation on Hospital committees, planning, and employee/staff training as needed. Responsible for personnel development and orientation. Supports the highest possible patient satisfaction levels that ensure program effectiveness in attaining out patient, Hospital, food, and nutritional service goals.
Responsibilities
Application of the Nutrition Care Process (NCP) in providing nutrition care to include:
Conduct nutrition assessments
Diagnose nutrition problems
Development nutrition related priorities, goals and objectives
Implementation of interventions. Monitoring and revision of interventions as warranted.
Provision of MNT and nutrition services to all individuals across the lifespan, groups and special populations.
Executing interventions per protocol to meet individual nutrients needs; modification of food textures, ordering Provide MNT for medical diseases and conditions across the continuum of care.
Recommend oral nutrition supplements and oral diets, recommendations for enteral nutrition and parenteral nutrition.
Provide nutrition counseling; nutrition behavioral therapy; lactation counseling; nutrition, physical activity, exercise counseling, and health education as components of preventative, therapeutic and restorative health care.
Recommend and interpret test results as it relates to nutritional stats.
Provide comprehensive nutrition related education to patients, families and the community.
Perform nutrition-focused physical assessments of patients.
Advocate on behalf of patients and families regarding their nutritional well-being.
Provide recommendations for nutrition related ICD10 diagnostic coding.
Participate in food and nutrition related research to demonstrate food and nutrition related outcomes and to develop food and nutrition policy and recommendations.
Coordinate the nutritional care needs of the patients’ by conferring with other healthcare providers and referrals to appropriate program and nutrition resources.
Active participant of the interdisciplinary team.
Supervise and provide guidance and training for dietetic interns, dietetic students, DTRs and the like. Provide appropriate assignments to the aforementioned personnel as it relates to the provision of nutritional care for the patients.
Design, implement and coordinate outcome based quality assurance and performance improvement plans.
Provide education and nutrition resources to the community about healthy lifestyles changes and positive nutritional outcomes.
Actively pursues continuing education and personal development programs to maintain and expand knowledge base.
Promotes Hospital, food, and nutritional services’ policies and procedures.
Deals easily and successfully with resolving problems in patient care according to goals and mission of Hospital.
Effectively communicates with Nursing, Medical and Support staff.
Conducts Meal Rounds to determine the adequacy and acceptability of meals.
Actively participates in patient satisfaction programs.
Represents the Hospital Food and Nutrition Department professionally and ethically.
Provides advice on clinical issues at departmental and interdepartmental meetings.
Demonstrates excellent communication and listening skills.
Achieves assigned goals.
Creates and supports an environment in which continuous improvement is measured and rewarded.
Develops and presents training classes.
Assists in managing the Diet Office activities.
Performs Registered Dietitian duties in accordance with established ADA and hospital standards and other clinical staff responsibilities as assigned.Qualifications
Education:
Bachelor’s degree in Nutrition required, Master Degree in Nutrition preferred (Master's degree required by end of 2019).
Experience:
Minimum one (1) year clinical nutrition experience preferred in both the acute and Ambulatory setting.
Knowledge and Skills:
Possess good written and verbal communication skills.
Knowledgeable about applicable regulations of JCAHO, OBRA, and New York State.
Familiar with managing in union environment.
Good management skills, able to develop goals, assess performance and develop development plans.
Ability to fully utilize BHMC’s electronic record systems, equipment and other healthcare and billing systems relevant to this position.
Licenses, Certifications:
Registered Dietitian (RD).
Certified Dietitian Nutritionist, New York State certification.
Member of the Academy of Nutrition and Dietetics (American Dietetic Association).
Physical Requirements:
Position requires prolonged periods of standing, reaching, walking throughout the working day.
Position will be required to stoops, bends, lifts, carry items weighing up to 25 pounds.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The statements herein are intended to describe the general nature and level of work being performed by employees, and are not to be construed as an exhaustive list of responsibilities, duties, and skills required of personnel so classified. Furthermore, they do not establish a contract for employment and are subject to change at the discretion of The Brookdale Hospital Medical Center.
BHMC is an equal opportunity employer, it is our policy to provide equal opportunity to all employees and applicants for employment without regard to race, color, religion, national origin, marital status, military status, age, gender, sexual orientation, disability or handicap or other characteristics protected by applicable federal, state, or local laws."
"321","Dietician- Full Time","Elderwood","Burlington, VT","Burlington, VTOverview
The Registered Dietician team member assists with nursing the health and well-being of our residents by being responsible for the nutrition assessments of our residents and monitoring their progress, keeping organized and cohesive documentation and conducting routine audits related to nutrition and food services.

Responsibilities
Completes nutrition assessments for the adult/geriatric population in a long term care and sub-acute rehabilitation setting in accordance with Elderwood policies and standards of care.
Develops, implements, monitors, and appropriately documents individualized nutrition care plans based on current best practices.
Provides nutrition counseling/education for residents and their family members.
Maintains resident nutrition information in the computer system.
Conducts routine audits and monitors performance improvement initiatives related to nutrition and food service.
Attends, and actively participates in, resident care plan meetings, staff meetings, required in-service programs, and other meetings/programs deemed appropriate by the Administrator or Director of Nutritional Services.
Maintains a working knowledge of federal and state regulations regarding nutritional services in the long term care setting.
Serves as a nutrition consultant for the Administrator, Diet Technician, Food Service Director, Dietary Supervisor, and multidisciplinary medical team.
Acts as a preceptor for Dietetic students and interns and as a supervisor/mentor to the Diet Technician(s).
Conducts in-service programs for dietary and facility staff upon request.
Assists the Food Service Director and/or Dietary Supervisor with department oversight on an as-needed basis.
Support and abide by Elderwood’s Mission, Vision and Values.
Must abide by Elderwood’s businesses code of conduct, compliance and HIPAA policies.
Adheres to the Academy of Nutrition and Dietetics Code of Conduct and Professional Standards.
Qualifications
Bachelor of Science Degree or higher in Nutrition/Dietetics from an accredited educational program.
Successful completion of an internship or equivalent clinical management practice which would qualify for Professional Registration with the Commission on Dietetic Registration.
Active and on-going Registration with the Commission on Dietetic Registration.
Active membership in The Academy of Nutrition and Dietetics preferred.
Certified Dietitian - Nutritionist (CDN) with The Vermont State Department of Education or Licensure in the state of employment (or to be obtained within one year from date of hire).
Long term care experience prefered.
Computer skills and knowledge in nutritional software programs preferred.
EOE Statement
WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved."
